stash_address,commission_percent,self_stake,total_stake,era_points,cluster,voters
11BgR7fH8Sq6CcGcXxZrhyrBM2PUpDmhnGZpxPGvVGXEiPT,10.0,1.0,2162675.013617494,880,1,451
11MJU5Q1rQh5BKuuECePhSAutv3WEVx6f2x9eZk9HXkCC1e,5.0,1.0,2123849.251790293,1080,6,475
11uMPbeaEDJhUxzU4ZfWW9VQEsryP9XqFcNRfPdYda6aFWJ,3.0,22.0000817999,2167836.315352993,860,13,1328
14Vh8S1DzzycngbAB9vqEgPFR9JpSvmF1ezihTUES1EaHAV,1.0,10883.0773816806,2168765.6692525144,880,2,850
1A2ATy1FEu5yQ9ZzghPLsRckPQ7XLmq5MJQYcTvGnxGvCho,8.0,1.0,1942391.6566110577,940,1,409
1ChRPtPxrTfFTSWyKHtF6ASvaSjL5jqz6f68ih15zcjyM1V,3.0,5349.8270847497,2160212.425027685,960,1,385
1LMtHkfrADk7awSEFC45nyDKWxPu9cK796vtrf7Fu3NZQmB,2.0,3.0,2167512.543307152,880,8,900
1REAJ1k691g5Eqqg9gL7vvZCBG7FCCZ8zgQkZWd4va5ESih,1.0,570807.4009814888,3405665.395375638,820,3,2569
1RG5T6zGY4XovW75mTgpH6Bx7Y6uwwMmPToMCJSdMwdm4EW,5.0,1920.9298875779,2167701.8328253143,920,1,703
1RJP5i7zuyBLtgGTMCD9oF8zQMTQvfc4zpKNsVxfvTKdHmr,2.0,3.0,2166958.573911074,780,8,998
1StVBqjDJKogQTsLioHC44iFch1cEAv2jcpsnvsy5buBtUE,2.0,5153.6779627065,2166347.130924064,920,1,402
1WG3jyNqniQMRZGQUc7QD2kVLT8hkRPGMSqAb5XYQM1UDxN,10.0,604440.1583,4299445.365490656,860,1,458
1dGsgLgFez7gt5WjX2FYzNCJtaCjGG6W9dA42d9cHngDYGg,1.5,3801.3002333985,2167744.950868103,860,1,1166
1hYyu9C3dupTiKGMNcrCRK6HVPS7LYznuofDXsia3N1W6AK,5.0,1.0,2167075.8241141187,1220,6,279
1jqkeJhuoRudNTVL5dV1qZf8RQtyzcf6ZT4yyvUQbKFktr8,1.0,1.0,2168518.913146264,940,5,2215
1k8LWqPsgZkkeXpDKc8mahhuR6J7FHb3XUPN2tpRLTa7RTa,5.0,2.0,2167296.8005962274,900,1,391
1pbMtabBc9MNJcam4o8uHGymybvPcnkU5AGmpSmUpms7SWh,5.0,2.233,2167729.337664639,960,1,1250
1sywP45NcZSQ3ev8WfcLZNm8hwCUiKzNYHmECpR9nYMAtMA,10.0,1.0,2126404.4216808975,940,1,183
1ufRSF5gx9Q8hrYoj7KwpzQzDNqLJdbKrFwC6okxa5gtBRd,1.0,1.0,2168682.6089405343,980,5,3172
1zugca3sakAjzRV6XHNqb4aZUhSwTTm318o7spZytyu96qN,0.77,10.0,2167556.9879527576,1000,21,543
1zugca7Tgy28PRusr3w5zkrq6CuHT7ESBekNQ29oodYctwC,0.77,10.0,2167676.4344658502,1060,21,198
1zugca8p9rquswKkHtVKmzR6Z8R9PAmj8MGL1x3HArdAp1J,0.77,10.0,2167914.6736667063,1020,21,1959
1zugcaaABVRXtyepKmwNR4g5iH2NtTNVBz1McZ81p91uAm8,0.77,10.0,2167517.332746416,940,21,2483
1zugcaaaDTLhG77kp7PBPpWiaUWTND9oKNcNM94StNStnuw,0.77,10.0,2167552.174445093,740,21,1675
1zugcabTuN7rs1bFYb33gRemtg67i4Mvp1twW85nQKiwhwQ,0.77,10.0,2167735.9091628096,860,21,2406
1zugcabYjgfQdMLC3cAzQ8tJZMo45tMnGpivpAzpxB4CZyK,0.77,10.0,2167874.8674885156,680,21,2542
1zugcacYFxX3HveFpJVUShjfb3KyaomfVqMTFoxYuUWCdD8,0.77,10.0,2167771.676492807,920,21,2262
1zugcacan4nrJ3HPBmiBgEn2XvRMbehqvmzSQXT3uLBDkh3,0.77,10.0,2167743.8006301825,920,21,2530
1zugcaebzKgKLebGSQvtxpmPGCZLFoEVu6AfqwD7W5ZKQZt,0.77,10.0,2167823.260896589,860,21,2533
1zugcag7cJVBtVRnFxv5Qftn7xKAnR6YJ9x4x3XLgGgmNnS,0.77,10.0,2168077.478337395,920,21,1904
1zugcaiwmKdWsfuubmCMBgKKMLSef2TEC3Gfvv5GxLGTKMN,0.77,10.0,2167800.991356772,920,21,2337
1zugcaj4mBMu7EULN4rafT5UTfBjbvqaoypZyxWa3io6qJS,0.77,10.0,2168194.305239744,900,21,2272
